topic,similarity
486,0.01322412765812065
215,0.013200558875869265
444,0.013086042923563962
449,0.012960928023990138
80,0.011992057616520446
123,0.011984033176423417
351,0.011846051286466791
339,0.011600564970254024
174,0.011424662988607325
343,0.011345210689196245
420,0.01115957279745591
307,0.010893710470201216
219,0.010697462141520406
220,0.010553039290642718
310,0.010416339065975675
328,0.010125658648857444
441,0.00999784058641499
95,0.009821676114884053
491,0.009629369268816615
361,0.009530237842242485
379,0.009436432362749403
106,0.009428340759427481
205,0.009143450324602781
196,0.00912565684851869
288,0.009039853825507352
39,0.009033527465397394
178,0.009009901265742104
90,0.008897956449709863
276,0.008851496435612763
143,0.008791226453121602
476,0.008466926718152218
18,0.008425280952127709
179,0.008301742815701462
253,0.008214982410243502
468,0.008157891773042849
475,0.008064140672931604
263,0.008017685075364302
115,0.007957572815293154
192,0.007933906898240715
127,0.007897174674157579
193,0.007850977930380096
365,0.007733071539243291
169,0.007717274790755663
67,0.0077018790610313866
434,0.0076962885072715415
473,0.007672201728059824
99,0.007510198966081414
141,0.007502836949235809
68,0.007467186227198748
387,0.007455461976861298
463,0.007425478600472475
84,0.007364017664853451
489,0.007296879999955153
397,0.007295789151472396
358,0.007254341883107634
248,0.007164493884844616
494,0.00715541721970867
357,0.00714364495979773
153,0.00713663772117154
29,0.007128336435103359
122,0.0071076424673705025
266,0.007100328693179106
271,0.007096898144234757
382,0.007086965724503122
199,0.007084612813653131
360,0.0069751874667872546
258,0.006916836736010295
146,0.006906731445336932
416,0.006853786669332084
4,0.006822354095545939
114,0.006734373943604805
370,0.006723832183369884
0,0.00671770791646174
187,0.006702655640789982
456,0.006645055034709075
74,0.006643478232817496
54,0.006622758924934938
289,0.006585655476978601
148,0.006565966179303557
246,0.006534256506771725
407,0.006529233498492277
269,0.006499368072392783
321,0.0063804138468932375
394,0.00636343848051838
386,0.006348699575806549
233,0.006345621273408125
184,0.00633626853845612
132,0.006306874398096924
368,0.0062596721285512824
86,0.0062001862138067
171,0.006153459540743314
36,0.006047914609514164
131,0.006047319487230834
478,0.006021850203799553
124,0.005940461524533745
98,0.0059106972502055485
487,0.005855917065302214
290,0.005853490126517106
116,0.005844361154133982
242,0.005788416573119575
433,0.005758573733467312
398,0.005734225633590685
459,0.005703818126840495
38,0.005641809485788447
352,0.005582561197181137
243,0.00552916759359752
295,0.005524965715883121
471,0.005519794660396978
231,0.005475573946423221
236,0.005382654492660735
32,0.005151990326195344
247,0.0051481177065394335
186,0.005122886083643923
469,0.005031562920129507
88,0.004998008049916946
391,0.004994168814411943
302,0.004844251341045335
466,0.004788257444902097
435,0.004766786466779812
210,0.004731157550968169
151,0.004715397892322857
439,0.004646180181229169
474,0.004403352208981846
6,0.00432569798657743
165,0.004312260750818356
208,0.0042598830217201455
83,0.004206540163746826
364,0.004144896040818398
191,0.0040359537728621294
204,0.003657214282047169
313,0.003598586889123121
230,0.002873712026640651
